;uddt;drytoilet;pour.flush;udft;tab;drainage;organic.solidwaste;urine.storagetank;dehydration.vault;faecesstorage.chamber;single.pit;double.pit;twin.pits;composting.chamber;vermi.composter;septic.tank;motorized.transport.urine;humanpowered.transport.urine;motorized.transport.dry;humanpowered.transport.dry;conventional.sewer;solidsfree.sewer;urine.bank;struvite.production;drying.bed;faecesdrying.bed;sedimentation.pond;abr;sbr;activated.sludge;cocomposting;biogas.reactor;wsp;constructedwetland;application.urine;application.struvite;application.faeces;application.compost;application.stabilizedsludge;biogas.combustion;leach.field;soak.pit;irrigation
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;a=0,b=24,c=24;a=0,b=24,c=24;;;;;;;;;;;;;
attr5;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;s;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M;Frequency.of.O&M
;dtriangle;dtriangle;dtriangle;dtriangle;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange;drange
;a=0, b=2, c=1;a=0, b=2, c=1;a=0, b=2, c=1;a=0, b=2, c=1;lower=0,upper=1;lower=0,upper=1;lower=0,upper=1;lower=0,upper=1;lower=0,upper=1;lower=0,upper=1;lower=0,upper=1;lower=0,upper=1;lower=1,upper=4;lower=0,upper=2;lower=0,upper=2;lower=0,upper=1;a=0,b=2,c=1;a=0,b=2,c=1;a=0,b=2,c=1;a=0,b=2,c=1;a=0,b=2,c=1;a=0,b=2,c=1;lower=0,upper=1;lower=1,upper=2;lower=1,upper=3;lower=1,upper=3;lower=0,upper=1;lower=1,upper=2;lower=1,upper=2;lower=1,upper=2;lower=1,upper=2;lower=0,upper=3;lower=1,upper=2;lower=0,upper=1;lower=1,upper=2;lower=1,upper=2;lower=1,upper=2;lower=1,upper=2;lower=1,upper=2;lower=0,upper=1;lower=1,upper=4;lower=1,upper=4;lower=1,upper=2
attr6;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range;Temperature.range
;prange;prange;prange;prange;prange;prange;prange;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptriangle;ptrapez;prange;prange;prange;prange;prange;prange;prange;ptrapez;ptrapez;ptrapez;prange;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;prange;ptrapez;ptrapez;ptrapez
;lower=-10,upper=50;lower=-10,upper=50;lower=-5,upper=50;lower=-5,upper=50;lower=-5,upper=50;lower=-5,upper=50;lower=-5,upper=50;a=2,b=20,c=50,d=50;a=10,b=20,c=50,d=50;a=10,b=20,c=50,d=50;a=10,b=20,c=50,d=50;a=10,b=20,c=50,d=50;a=-10,b=0,c=50,d=50;a=10,b=20,c=50,d=50;a=0,b=30,c=20;a=-5,b=15,c=50,d=50;lower=-20,upper=50;lower=-20,upper=50;lower=-20,upper=50;lower=-20,upper=50;lower=-10,upper=50;lower=-10,upper=50;lower=4,upper=50;a=0,b=15,c=30,d=50;a=5,b=15,c=50,d=50;a=5,b=15,c=50,d=50;lower=5,upper=50;a=5,b=15,c=35,d=50;a=-5,b=10,c=40,d=50;a=-5,b=10,c=40,d=50;a=10,b=20,c=50,d=50;a=15,b=30,c=40,d=50;a=0,b=15,c=50,d=50;a=-5,b=10,c=30,d=50;a=-5,b=5,c=30,d=40;a=-5,b=5,c=30,d=40;a=-5,b=5,c=30,d=40;a=-5,b=5,c=30,d=40;a=-5,b=5,c=30,d=40;lower=-20,upper=50;a=-10,b=0,c=50,d=50;a=-10,b=0,c=50,d=50;a=0,b=5,c=50,d=50
attr7;;;;;;;;;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;;;;;Flooding;Flooding;;;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;Flooding;;Flooding;Flooding;Flooding
;;;;;;;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;;;ptrapez;ptrapez;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;ptrapez;ptrapez;ptrapez
;;;;;;;;;a=0,b=0,c=3,d=30;a=0,b=0,c=3,d=30;a=0,b=0,c=6,d=60;a=0,b=0,c=6,d=60;a=0,b=0,c=6,d=30;a=0,b=0,c=3,d=30;a=0,b=0,c=6,d=60;a=0,b=0,c=6,d=60;;;;;a=0,b=0,c=20,d=365;a=0,b=0,c=20,d=365;;;a=0,b=0,c=6,d=12;a=0,b=0,c=6,d=12;a=0,b=0,c=6,d=100;a=0,b=0,c=6,d=60;a=0,b=0,c=6,d=60;a=0,b=0,c=12,d=60;a=0,b=0,c=6,d=12;a=0,b=0,c=6,d=12;a=0,b=0,c=6,d=100;a=0,b=0,c=6,d=100;a=0,b=0,c=6,d=60;a=0,b=0,c=6,d=60;a=0,b=0,c=12,d=50;a=0,b=0,c=12,d=50;a=0,b=0,c=12,d=50;;a=0,b=0,c=6,d=30;a=0,b=0,c=6,d=30;a=0,b=0,c=6,d=60
attr8;;;;;;;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;Vehicular.access ;;;;;;;;;
;;;;;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;ptrapez;ptrapez;ptrapez;prange;ptrapez;prange;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;;;;;;;
;;;;;;;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;lower=3,upper=100;a=0,b=1,c=100,d=100;lower=3,upper=100;a=0,b=1,c=100,d=100;a=1,b=4,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;a=1,b=3,c=100,d=100;;;;;;;;;
attr9;;;;;;Slope;;;;;;;Slope;;;;Slope;Slope;Slope;Slope;Slope;Slope;;;Slope;Slope;Slope;Slope;Slope;Slope;Slope;Slope;Slope;Slope;;;;;;;Slope;Slope;Slope
;;;;;;ptrapez;;;;;;;ptrapez;;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;ptrapez;;;;;;;ptrapez;ptrapez;ptrapez
;;;;;;a=0,b=1,c=50,d=100;;;;;;;a=0,b=0,c=70,d=100;;;;a=0,b=0,c=20,d=35;a=0,b=0,c=50,d=100;a=0,b=0,c=20,d=35;a=0,b=0,c=50,d=100;a=0.5,b=4,c=100,d=100;a=1,b=5,c=100,d=100;;;a=0,b=0,c=10,d=100;a=0,b=0,c=10,d=100;a=0,b=0,c=10,d=100;a=0,b=0,c=50,d=100;a=0,b=0,c=50,d=100;a=0,b=0,c=0,d=100;a=0,b=0,c=50,d=100;a=0,b=0,c=50,d=100;a=0,b=0,c=0,d=100;a=0,b=0,c=10,d=100;;;;;;;a=0,b=0,c=50,d=100;a=0,b=0,c=70,d=100;a=0,b=0,c=70,d=100
attr10;;;;;;;;;;;Soil.type/hydraulic.conductivity;Soil.type/hydraulic.conductivity;Soil.type/hydraulic.conductivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;Soil.type/hydraulic.conductivity;Soil.type/hydraulic.conductivity;
;;;;;;;;;;;pcat;pcat;pcat;;;;;;;;;;;;;;;;;;;;;;;;;;;;pcat;pcat;
;;;;;;;;;;;c(clay=0.5,silt=1,sand=1,gravel=0.5);c(clay=0.5,silt=1,sand=1,gravel=0.5);c(clay=0,silt=0.5,sand=1,gravel=1);;;;;;;;;;;;;;;;;;;;;;;;;;;;c(clay=0,silt=0.5,sand=1,gravel=1);c(clay=0,silt=0.5,sand=1,gravel=1);
attr11;;;;;;Groundwater.depth;;;;;Groundwater.depth;Groundwater.depth;Groundwater.depth;;;;;;;;Groundwater.depth;Groundwater.depth;;;Groundwater.depth;Groundwater.depth;;;;;;;;Groundwater.depth;;;;;;;Groundwater.depth;Groundwater.depth;
;;;;;;prange;;;;;ptrapez;ptrapez;ptrapez;;;;;;;;ptrapez;ptrapez;;;prange;prange;;;;;;;;prange;;;;;;;prange;ptrapez;
;;;;;;lower=2,upper=100;;;;;a=4,b=8,c=100,d=100;a=4,b=8,c=100,d=100;a=3.5,b=6,c=100,d=100;;;;;;;;a=3,b=7,c=100,d=100;a=1,b=3,c=100,d=100;;;lower=2,upper=100;lower=2,upper=100;;;;;;;;lower=2,upper=100;;;;;;;lower=3,upper=100;a=3.5,b=6,c=100,d=100;
attr12;;;;;;Excavation;;;;;Excavation;Excavation;Excavation;;;;;;;;Excavation;Excavation;;;Excavation;Excavation;;;;;;;;;;;;;;;Excavation;Excavation;
;;;;;;pcat;;;;;pcat;pcat;pcat;;;;;;;;pcat;pcat;;;pcat;pcat;;;;;;;;;;;;;;;pcat;pcat;
;;;;;;c(easy=1,hard=0.5);;;;;c(easy=1,hard=0.5);c(easy=1,hard=0.5);c(easy=1,hard=0.5);;;;;;;;c(easy=1,hard=0.5);c(easy=1,hard=0.8);;;c(easy=1,hard=0.8);c(easy=1,hard=0.8);;;;;;;;;;;;;;;c(easy=1,hard=0.5);c(easy=1,hard=0.5);
attr14;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;;;;;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;Construction.skills ;
;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;;;;drange;drange;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;
;a=2,b=4,c=3;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=2,b=4,c=3;a=1,b=3,c=2;;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=0,b=2,c=1;a=0,b=2,c=1;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;;;;;lower=3,upper=5;lower=3,upper=5;a=0,b=2,c=1;a=2,b=4,c=3;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=2,b=4,c=3;a=3,b=5,c=4;a=1,b=3,c=2;a=1,b=3,c=2;a=2,b=4,c=3;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=0,b=2,c=1;a=0,b=2,c=1;a=0,b=2,c=1;a=0,b=2,c=1;a=2,b=4,c=3;a=2,b=4,c=3;a=1,b=3,c=2;
attr15;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;;;;;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills ;Design.skills 
;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;;;;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle
;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=4,b=6,c=5;a=4,b=6,c=5;;a=1,b=3,c=2;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=3,b=5,c=4;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;;;;;a=4,b=6,c=5;a=4,b=6,c=5;a=1,b=3,c=2;a=3,b=5,c=4;a=3,b=5,c=4;a=3,b=5,c=4;a=2,b=4,c=3;a=3,b=5,c=4;a=4,b=6,c=5;a=3,b=5,c=4;a=3,b=5,c=4;a=3,b=5,c=4;a=3,b=5,c=4;a=3,b=5,c=4;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=3,b=5,c=4;a=3,b=5,c=4;a=4,b=6,c=5
attr16;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills;O&M.skills
;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;drange;drange;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle;dtriangle
;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=2,b=4,c=3;a=2,b=4,c=3;;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=1,b=3,c=2;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=1,b=3,c=2;a=2,b=4,c=3;a=1,b=3,c=2;lower=3,upper=7;lower=3,upper=5;a=1,b=3,c=2;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=5,c=3;a=1,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3;a=1,b=3,c=2;a=2,b=4,c=3;a=2,b=4,c=3;a=2,b=4,c=3
attr17;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management;Management
;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat;pcat
;c(household=1,shared=0.7,public=0.5);c(household=1,shared=0.7,public=0.5);c(household=1,shared=0.7,public=0.5);c(household=1,shared=0.7,public=0.5);c(household=0,shared=0.5,public=1);c(household=0,shared=0.5,public=1);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=1);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=0);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=0);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=1);c(household=0,shared=0.5,public=1);c(household=1,shared=1,public=1);c(household=0,shared=0.5,public=1);c(household=1,shared=1,public=1);c(household=0,shared=0,public=1);c(household=0.5,shared=1,public=1);c(household=1,shared=1,public=1);c(household=1,shared=1,public=0.5);c(household=0,shared=0,public=1);c(household=0,shared=0,public=1);c(household=0,shared=0,public=1);c(household=0.5,shared=1,public=1);c(household=0,shared=0,public=1);c(household=0,shared=0,public=1);c(household=1,shared=1,public=1);c(household=1,shared=1,public=1);c(household=0,shared=0.5,public=1);c(household=0.5,shared=1,public=1);c(household=1,shared=1,public=1);c(household=1,shared=1,public=1);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=1);c(household=1,shared=1,public=1);c(household=1,shared=1,public=0.5);c(household=1,shared=1,public=0);c(household=1,shared=1,public=1)
attr21;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply;Spare.parts.supply
;dcat;dcat;dcat;dcat;dcat;dcat;;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat;dcat
